ID,CATEGORY,NAME,PLACE_ID,LAT,LNG,ICON,RATING,REFERENCE,TYPE
P001,PARKS,Sri Chamarajendra Park,ChIJL2fQ53MWrjsRuN9D6aalLMY,12.9763472,77.5929284,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.4,ChIJL2fQ53MWrjsRuN9D6aalLMY,"['park', 'point_of_interest', 'establishment']"
P002,PARKS,Bannerghatta Biological Park,ChIJsW0ZC-BprjsRXzqh_3gub08,12.800285,77.5770474,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.1,ChIJsW0ZC-BprjsRXzqh_3gub08,"['zoo', 'park', 'point_of_interest', 'establishment']"
P003,PARKS,Bugle Rock Park,ChIJmwJpvowVrjsR0JVGQxxLHms,12.9427052,77.5694287,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.4,ChIJmwJpvowVrjsR0JVGQxxLHms,"['park', 'point_of_interest', 'establishment']"
P004,PARKS,Jaya Prakash Narayana Park,ChIJ-8Jcp109rjsRe0QXmcbU8Ic,13.0339132,77.5500089,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.4,ChIJ-8Jcp109rjsRe0QXmcbU8Ic,"['park', 'point_of_interest', 'establishment']"
P005,PARKS,M.N. Krishna Rao Park,ChIJ4zqO6ZIVrjsRSwuhJweaVJY,12.9418183,77.5752478,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.4,ChIJ4zqO6ZIVrjsRSwuhJweaVJY,"['park', 'point_of_interest', 'establishment']"
P006,PARKS,Ranadheera Kanteerava Park,ChIJTeAgMJcVrjsRSUCI3unhuIQ,12.9344251,77.5798235,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.5,ChIJTeAgMJcVrjsRSUCI3unhuIQ,"['park', 'point_of_interest', 'establishment']"
P007,PARKS,Freedom Park,ChIJX5m7gw0WrjsRtuZKH4Cp8xY,12.9782708,77.5821579,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.1,ChIJX5m7gw0WrjsRtuZKH4Cp8xY,"['park', 'point_of_interest', 'establishment']"
P008,PARKS,Butterfly Park,ChIJ3XmpYxpqrjsRjRZ78HKinFY,12.7960545,77.5764202,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,3.9,ChIJ3XmpYxpqrjsRjRZ78HKinFY,"['park', 'point_of_interest', 'establishment']"
P009,PARKS,Cariappa Memorial Park,ChIJg7jFwXwWrjsR9Vs5rGnsFzI,12.9771738,77.6038475,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,3.8,ChIJg7jFwXwWrjsR9Vs5rGnsFzI,"['park', 'point_of_interest', 'establishment']"
P010,PARKS,Jayamahal Park,ChIJ40EaoloWrjsRGpFvJX55WXs,13.0008594,77.5976992,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.3,ChIJ40EaoloWrjsRGpFvJX55WXs,"['park', 'point_of_interest', 'establishment']"
P011,PARKS,Mahatma Gandhi Park,ChIJUXbUGHsWrjsRmUwSArERj1E,12.9771725,77.5997522,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.1,ChIJUXbUGHsWrjsRmUwSArERj1E,"['park', 'point_of_interest', 'establishment']"
P012,PARKS,Chinnappanahalli Lake Park,ChIJ2_W4Hi8SrjsRQMvJQH7HvLA,12.965225,77.7082431,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.2,ChIJ2_W4Hi8SrjsRQMvJQH7HvLA,"['park', 'point_of_interest', 'establishment']"
P013,PARKS,Lalbagh Botanical Garden,ChIJHdPykcEVrjsRIr4v35kLEY4,12.9507432,77.5847773,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.4,ChIJHdPykcEVrjsRIr4v35kLEY4,"['park', 'point_of_interest', 'establishment']"
P014,PARKS,Bangalore One HSR Park,ChIJTY1PzpwUrjsRCpl8UQVA5Gk,12.9128553,77.6499044,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4,ChIJTY1PzpwUrjsRCpl8UQVA5Gk,"['park', 'point_of_interest', 'establishment']"
P015,PARKS,Hanuman Park,ChIJ96e01z8RrjsRmP-q9-0rTjI,12.9960199,77.6764066,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.2,ChIJ96e01z8RrjsRmP-q9-0rTjI,"['park', 'point_of_interest', 'establishment']"
P016,PARKS,Indira Gandhi Musical Fountain Park,ChIJ7ywPXWkWrjsROJGazHbfZhg,12.9851177,77.5915915,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4,ChIJ7ywPXWkWrjsROJGazHbfZhg,"['park', 'point_of_interest', 'establishment']"
P017,PARKS,Lakshmi Devi Park,ChIJIUDm80UUrjsRi7RJJcUJ-Cg,12.9392678,77.6197818,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.3,ChIJIUDm80UUrjsRi7RJJcUJ-Cg,"['park', 'point_of_interest', 'establishment']"
P018,PARKS,Coles Park,ChIJP57klvUWrjsRxqRX9CYZ6M8,12.9944862,77.6088171,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4,ChIJP57klvUWrjsRxqRX9CYZ6M8,"['park', 'point_of_interest', 'establishment']"
P019,PARKS,Sir. M. Vishveshwaraiah Park,ChIJ93VCfaoWrjsRYEeTPCK-tgA,12.9705029,77.6506885,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.2,ChIJ93VCfaoWrjsRYEeTPCK-tgA,"['park', 'point_of_interest', 'establishment']"
P020,PARKS,National Poet Kuvempu Park,ChIJ29iDmf0UrjsR2DiRhnFCSsw,12.9147448,77.6090398,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,4.3,ChIJ29iDmf0UrjsR2DiRhnFCSsw,"['park', 'point_of_interest', 'establishment']"
P021,LAKES,Ulsoor Lake,ChIJWwLHKpAWrjsRLHdwWyGN2lw,12.9832468,77.6199608,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,4,ChIJWwLHKpAWrjsRLHdwWyGN2lw,"['natural_feature', 'establishment']"
P022,LAKES,Bellandur Lake,ChIJH8rxiYUTrjsRFYKr5ANmrCw,12.9354164,77.667853,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,2.9,ChIJH8rxiYUTrjsRFYKr5ANmrCw,"['natural_feature', 'establishment']"
P023,LAKES,Sankey Tank,ChIJzVAUlTIWrjsRJgrhXgyf-Gs,13.0092983,77.5741212,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,4.5,ChIJzVAUlTIWrjsRJgrhXgyf-Gs,"['natural_feature', 'establishment']"
P024,LAKES,Hebbal Lake,ChIJBTRnZY0XrjsRA0m04B3mWjY,13.0465993,77.5855829,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.9,ChIJBTRnZY0XrjsRA0m04B3mWjY,"['natural_feature', 'establishment']"
P025,LAKES,Agara Village,ChIJDynrX4YUrjsRkHS5s5wRaj4,12.9230648,77.6464534,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.9,ChIJDynrX4YUrjsRkHS5s5wRaj4,"['sublocality_level_3', 'sublocality', 'political', 'natural_feature', 'establishment']"
P026,LAKES,Agara Lake,ChIJny9MgogUrjsRWTk5MKLvO3g,12.920707,77.6414418,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,4.4,ChIJny9MgogUrjsRWTk5MKLvO3g,"['natural_feature', 'establishment']"
P027,LAKES,Hesaraghatta Lake,ChIJi7vANVwhrjsRMezAJsujVrs,13.15,77.49,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,4.2,ChIJi7vANVwhrjsRMezAJsujVrs,"['natural_feature', 'establishment']"
P028,LAKES,Puttenahalli Lake,ChIJ_c_5VjgVrjsRlXabhj3lGMA,12.8904142,77.5871901,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.9,ChIJ_c_5VjgVrjsRlXabhj3lGMA,"['park', 'natural_feature', 'point_of_interest', 'establishment']"
P029,LAKES,Sarakki Lake,ChIJvXn1C0IVrjsRBUcULuJEeZY,12.899404,77.5798522,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.8,ChIJvXn1C0IVrjsRBUcULuJEeZY,"['natural_feature', 'establishment']"
P030,LAKES,Vibhutipura Lake,ChIJi_tGjuATrjsRl2_8ieJlaos,12.967643,77.675566,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.5,ChIJi_tGjuATrjsRl2_8ieJlaos,"['natural_feature', 'establishment']"
P031,LAKES,Kanva Reservoir,ChIJE-utYcVMrjsROYbO5uBnwuk,12.7310213,77.2031493,https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,3.9,ChIJE-utYcVMrjsROYbO5uBnwuk,"['natural_feature', 'establishment']"
P032,HISTORICAL MONUMENT,Bangalore Fort,ChIJVx06BOMVrjsR1-a9CQJZpLI,12.9629009,77.5760465,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJVx06BOMVrjsR1-a9CQJZpLI,"['point_of_interest', 'establishment']"
P033,HISTORICAL MONUMENT,Bangalore Palace,ChIJN1ZKKUkWrjsRzxIVM363-LE,12.998766,77.5921071,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.2,ChIJN1ZKKUkWrjsRzxIVM363-LE,"['museum', 'point_of_interest', 'establishment']"
P034,HISTORICAL MONUMENT,Ashoka Pillar Monument,ChIJK5UVK5UVrjsRMFgrDKedF5E,12.9437014,77.585211,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJK5UVK5UVrjsRMFgrDKedF5E,"['point_of_interest', 'establishment']"
P035,HISTORICAL MONUMENT,Tipu Sultan's Summer Palace,ChIJAeY0tOQVrjsRdZ8hleP7aRo,12.9595363,77.5738071,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJAeY0tOQVrjsRdZ8hleP7aRo,"['premise', 'museum', 'point_of_interest', 'establishment']"
P036,HISTORICAL MONUMENT,Kempegowda Tower (South West),ChIJnQnych0-rjsR0GKEX5xfpvE,12.949338,77.5580263,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,3.9,ChIJnQnych0-rjsR0GKEX5xfpvE,"['point_of_interest', 'establishment']"
P037,HISTORICAL MONUMENT,Tipu Sultan's Armoury,ChIJdda0AuUVrjsR2LwvE8z7ITc,12.9578228,77.5752983,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.9,ChIJdda0AuUVrjsR2LwvE8z7ITc,"['point_of_interest', 'establishment']"
P038,HISTORICAL MONUMENT,Devanahalli Fort,ChIJu9PQfoPisTsRbepyTxsj700,13.249755,77.708187,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.8,ChIJu9PQfoPisTsRbepyTxsj700,"['point_of_interest', 'establishment']"
P039,GOVERNTMENT BUILDINGS,Visvesvaraya Industrial & Technological Museum,ChIJqyoigt8VrjsRp_hKR5Y_1X8,12.9752264,77.5963449,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.6,ChIJqyoigt8VrjsRp_hKR5Y_1X8,"['museum', 'point_of_interest', 'establishment']"
P040,GOVERNTMENT BUILDINGS,Victoria Hospital,ChIJ54EQ1uIVrjsRHnL6tjMIfW4,12.9635669,77.5738074,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,3.5,ChIJ54EQ1uIVrjsRHnL6tjMIfW4,"['hospital', 'point_of_interest', 'establishment']"
P041,GOVERNTMENT BUILDINGS,Sds Sanatorium,ChIJAQAAAKQVrjsRPhGsLLiQn-8,12.9274655,77.5906305,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,4,ChIJAQAAAKQVrjsRPhGsLLiQn-8,"['hospital', 'point_of_interest', 'establishment']"
P042,GOVERNTMENT BUILDINGS,Minto Ophthalmic Hospital,ChIJ_f__z_wVrjsRHEgMRnkQ8jc,12.9608878,77.5718855,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,3.9,ChIJ_f__z_wVrjsRHEgMRnkQ8jc,"['health', 'hospital', 'point_of_interest', 'establishment']"
P043,GOVERNTMENT BUILDINGS,Kidwai Memorial Institute of Oncology,ChIJE8R9PncWrjsRhio-LJBuW7o,12.9373933,77.5980111,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,3.1,ChIJE8R9PncWrjsRhio-LJBuW7o,"['health', 'point_of_interest', 'establishment']"
P044,MUSEUMS,Visvesvaraya Industrial & Technological Museum,ChIJqyoigt8VrjsRp_hKR5Y_1X8,12.9752264,77.5963449,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.6,ChIJqyoigt8VrjsRp_hKR5Y_1X8,"['museum', 'point_of_interest', 'establishment']"
P045,MUSEUMS,Government Museum,ChIJHfOennAWrjsRzNoMSHtNB0c,12.9747078,77.5959723,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.2,ChIJHfOennAWrjsRzNoMSHtNB0c,"['museum', 'point_of_interest', 'establishment']"
P046,MUSEUMS,HAL Heritage Centre and Aerospace Museum,ChIJg2Ir7MMTrjsR9kqAcrWsFew,12.955323,77.6835548,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.4,ChIJg2Ir7MMTrjsR9kqAcrWsFew,"['museum', 'point_of_interest', 'establishment']"
P047,MUSEUMS,Venkatappa Art Gallery,ChIJKW2JvnAWrjsRUhxNZVxBjBc,12.9742357,77.5953023,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.1,ChIJKW2JvnAWrjsRUhxNZVxBjBc,"['art_gallery', 'point_of_interest', 'establishment']"
P048,MUSEUMS,NIMHANS Brain Museum,ChIJAUBCIrcVrjsRzc0opQv6QrU,12.9403934,77.5987779,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,4.4,ChIJAUBCIrcVrjsRzc0opQv6QrU,"['museum', 'point_of_interest', 'establishment']"
P049,MUSEUMS,"National Gallery of Modern Art, Bangalore",ChIJqZQybIEWrjsRezNLL4Ju2Gk,12.9894116,77.5880553,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4.4,ChIJqZQybIEWrjsRezNLL4Ju2Gk,"['art_gallery', 'library', 'museum', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']"
